id_1,id_2,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
13,348,0,0,2,2,0,0,0,0,0,0,0,0,0,0
13,351,0,0,2,2,0,0,0,0,0,0,0,0,0,0
14,35,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,202,0,0,1,1,1,1,1,1,1,1,1,1,0,0
14,138,0,0,1,1,1,0,1,1,0,1,1,1,1,0
14,240,0,0,1,0,2,1,1,1,0,1,0,1,0,0
14,276,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,183,0,0,0,1,2,1,1,0,0,1,0,1,0,0
14,189,0,0,0,1,1,0,1,0,0,0,0,1,0,0
15,66,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15,74,0,0,0,0,1,0,0,1,1,0,0,0,0,0
15,365,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,146,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,373,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,255,0,0,1,0,2,0,0,0,0,0,0,1,0,0
16,37,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,230,0,0,0,0,1,1,0,1,0,0,0,1,0,0
16,231,0,0,0,0,1,0,0,0,1,0,0,1,0,0
16,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,210,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,179,0,0,0,0,1,0,0,1,1,0,0,1,0,0
16,182,0,0,0,0,2,1,1,0,0,1,0,1,0,0
16,216,0,0,0,0,2,0,0,0,0,0,0,1,0,0
17,332,0,0,0,0,1,0,0,1,0,0,0,0,0,0
17,309,0,0,1,0,1,0,1,1,0,1,0,0,0,0
17,375,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,121,0,0,1,1,2,0,1,1,1,1,1,0,0,0
17,319,0,0,0,0,1,0,1,1,1,0,0,0,0,0
18,320,0,0,0,0,1,0,0,0,1,0,0,0,0,0
18,261,0,0,0,1,2,0,0,1,0,0,0,1,0,0
18,297,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,149,0,0,0,0,1,0,1,0,0,0,0,0,1,0
18,150,0,0,1,0,2,0,0,1,1,1,0,1,1,0
18,248,0,0,0,0,1,1,0,0,0,0,0,1,0,0
18,380,0,0,0,1,1,1,0,1,0,0,0,0,0,1
19,99,0,0,0,0,2,1,1,0,1,0,1,0,0,0
19,355,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,36,0,0,1,1,2,0,1,0,0,0,0,0,0,0
19,80,0,0,1,1,2,1,1,1,1,0,0,0,0,0
19,29,0,0,1,1,2,1,0,0,0,0,0,0,0,0
19,414,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20,257,0,0,1,1,1,0,0,0,1,0,0,1,0,0
20,298,0,0,1,2,1,0,0,0,0,1,0,0,0,0
20,303,0,0,2,1,1,0,0,0,0,1,0,0,0,0
20,152,0,1,2,2,1,0,0,0,0,1,0,0,1,0
20,345,0,1,2,2,1,1,1,0,0,0,0,0,0,0
21,354,0,0,0,2,0,1,0,0,0,0,0,0,0,0
21,355,0,0,0,2,0,1,0,0,0,0,0,0,0,0
21,78,0,0,1,2,1,1,0,1,1,0,0,0,0,0
21,79,0,0,1,1,1,1,1,1,1,0,0,0,0,0
21,306,0,0,0,2,0,2,1,1,1,1,0,0,0,0
21,346,0,0,0,1,0,1,1,0,0,0,0,0,0,0
21,29,0,0,1,2,1,2,0,0,0,0,0,0,0,0
22,161,0,0,0,1,1,2,0,1,1,0,0,0,1,0
22,261,0,0,0,2,1,1,0,1,0,0,0,1,0,0
22,304,0,0,0,1,0,1,0,0,0,1,0,0,0,0
22,404,0,0,1,1,1,2,0,1,1,1,0,1,1,1
22,407,0,0,1,2,0,1,1,1,1,1,0,1,1,1
22,156,0,0,0,2,1,1,1,0,0,0,0,1,1,0
23,32,0,0,1,1,2,1,0,0,0,0,0,0,0,0
23,72,0,0,0,0,1,1,0,0,1,0,0,0,0,0
23,300,0,0,0,0,1,1,0,0,1,1,0,0,0,0
23,301,0,0,0,0,1,1,0,1,1,1,0,0,0,0
23,410,0,1,1,1,2,1,1,0,0,0,0,0,0,1
