y_meters,x_meters,elev,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
754164.1402,1288519.976,1087, , ,M, , , , , , ,L, , , , 
718533.2873,1258036.249,819, , , , , , , , , ,L, , , , 
696646.6675,1338731.359,1079, , , ,M, ,L, ,L,L,L, , , , 
697510.8229,1335200.444,1081, , , ,M, ,L,M,L,L,L, , , , 
685965.886,1319657.496,1110, , ,M,L, ,L,L,L,L,L, , , , 
674991.5089,1318560.319,675, , , , ,L, ,L, , ,L, , , , 
667674.6058,1313505.228,1236, , ,L, , , ,L,L, ,L, , , , 
663800.8499,1318195.667,755, , , , , , , , , ,L, , , , 
654789.003,1339719.504,876, , , , , , , , , ,L, , , , 
659877.471,1329553.727,1221, , , , , , , , , ,M, , , , 
647181.4424,1325384.04,1065, , , , , , ,M,M,L,L, , , , 
639499.4193,1301277.36,1585, , , , , , , , , ,L, , , , 
619428.2889,1321080.891,1432, , , , , , ,L, , ,L, , , , 
693850.9295,1264139.938,1374, , , , , , , , ,L, , , , , 
694816.662,1263041.302,1262, , , , , ,L, , ,L, , , , , 
689333.0119,1335182.281,1072, , , ,L, ,L,L,L,L, , , , , 
678258.8673,1280757.475,1195, , , , , , ,L,L,L, , , , , 
672943.696,1257560.044,1573, , , , , , , , ,L, , , , , 
664027.6087,1351442.009,722, , , , , , , , ,L, , , , , 
656965.5384,1365377.707,928, , , , , , , , ,L, , , , , 
653575.8256,1306271.373,873, , , , , , , , ,L, , , , , 
654070.7735,1319968.304,1213, , , , , , ,L, ,L, , , , , 
651678.9982,1326468.312,1160, , , , , , ,L,L,L, , , , , 
646829.3402,1340738.48,1058, , , , , , , , ,L, , , , , 
625433.3062,1323820.795,1140, , , , , , ,L,L,L, , , , , 
796814.0154,1148198.279,921, , , , , , , ,L, , , , , , 
796745.0658,1142510.432,976, , , , , , , ,L, , , , , , 
797871.4983,1156123.862,949, , , , , , ,L,L, , , , , , 
672590.4996,1354381.213,1029, , , , , , , ,L, , , , , , 
664897.7311,1283366.625,1368, , , , , , , ,M, , , , , , 
783804.1528,1162818.125,931, , , , , , ,L,L, , , , , , 
794289.02,1154350.02,921, , , , , , ,L,L, , , , , , 
733239.8342,1268573.296,1370, , ,M,L, , ,L,L, , , , , , 
711107.4611,1292078.8,1040, , , , ,L, , ,L, , , , , , 
710818.2429,1291997.807,1044, , , , ,L, , ,L, , , , , , 
654769.344,1276324.173,1307, , , , ,L, ,M,M, , , , , , 
652721.1253,1280401.036,826, , , , , , , ,L, , , , , , 
701633.4396,1261237.252,1353, , , , , , , ,L, , , , , , 
773085.0123,1288958.067,910, , ,L,M, , ,M,L, , , , , , 
763497.9963,1295432.554,969, , ,L,M, , , ,L, , , , , , 
698608.6964,1262344.626,1351, , , ,L, , , ,L, , , , , , 
734550.78,1259197.537,878, , , ,M,M, ,L, , , , , , , 
743933.0265,1272282.167,918, ,M,S,L, ,L,L, , , , , , , 
712954.2258,1331469.374,1087, , , , , , ,L, , , , , , , 
752414.348,1326020.371,933, ,S, ,M,L, , , , , , , , , 
761786.8325,1287417.139,1046, , ,M,L, , , , , , , , , , 
765984.9326,1287946.391,1000, , ,M,L, , , , , , , , , , 
763658.3816,1288013.472,1021, , ,M,L, , , , , , , , , , 
763359.8666,1286742.505,1041, , ,M,L, , , , , , , , , , 
758800.4489,1306350.813,975, ,M,M,L, , , , , , , , , , 
762386.8754,1292037.968,1026, , ,L,L, , , , , , , , , , 
706897.6682,1336082.367,1108, , , ,L, , , , , , , , , , 
701660.7524,1324012.453,1088, , , ,L, , , , , , , , , , 
705344.0952,1343139.775,914, , , ,L, , , , , , , , , , 
706438.6004,1343694.013,957, , , ,L, , , , , , , , , , 
774344.8668,1299673.248,938, , ,L,L, , , , , , , , , , 
767056.1593,1316579.014,914, , ,M,L, , , , , , , , , , 
762362.225,1304759.752,935, ,M,M,M, , , , , , , , , , 
767374.3861,1291186.542,960, , ,L,M, , , , , , , , , , 
776804.6399,1298861.554,963, , ,L,M, , , , , , , , , , 
730035.478,1277449.057,1292, , ,L,L, , , , , , , , , , 
700675.4317,1342629.331,1165, , , ,M, , , , , , , , , , 
732954.1183,1296569.583,1093, , ,L, , , , , , , , , , , 
724021.7209,1292850.653,1092, , ,L, , , , , , , , , , , 
728851.9865,1301720.187,1088, , ,L, , , , , , , , , , , 
737002.3526,1286608.543,1088, , ,L, , , , , , , , , , , 
731987.2074,1293825.062,1136, , ,L, , , , , , , , , , , 
720828.65,1304802.753,1079, , ,L, , , , , , , , , , , 
730933.8402,1297440.905,1118, , ,L, , , , , , , , , , , 
738962.9546,1251209.971,859, , ,S, , , , , , , , , , , 
743247.1663,1304870.849,1100, , ,L, , , , , , , , , , , 
772120.6806,1306498.054,976, , ,L, , , , , , , , , , , 
679555.0056,1308844.05,1385, , ,L, , , , , , , , , , , 
764928.5627,1324031.29,920, , ,M, , , , , , , , , , , 
765841.5455,1322545.827,863, , ,M, , , , , , , , , , , 
764747.4679,1328003.814,931, , ,M, , , , , , , , , , , 
714688.8799,1254951.923,1049, , , ,L, , , ,L, , , , ,L,L
716049.9534,1253224.04,1136, , , ,M, ,L, ,L, , , , , ,L
735857.9629,1261356.487,912, , ,M,L,M, ,L,L,L,L, ,L,L,L
746706.0696,1249719.19,1079, , ,S,L,L,L, ,L,L,L,L,M,M,L
772963.7325,1255975.162,901, , ,L,L, , ,L,L,M,L,L,L, ,L
791737.092,1279981.034,749, , , , , ,L,L,L,L,L,L,L, ,L
793202.7077,1257599.231,974, , ,L,L,M, ,L,L,L,L,L,L, ,L
796929.4692,1253607.562,458, , , , , ,L, ,M,L,S, , , ,L
801150.7288,1257097.857,713, , , ,M,M, ,M,M,L,M,M,L, ,L
800913.6893,1252184.425,743, , ,L, ,L,L,M,M, ,L,M,L,L,L
814107.9954,1256544.738,810, , ,L, ,M,L,M,L,L,M,M,L, ,L
815417.627,1259596.634,730, , , ,L,L,L, ,L,L,L,L,M, ,L
