CELL_ID,PDMIN,PDMAX,pdMN,pdSTD,pdSUM
163972,118.4931488,2857.142822,1148.191149,844.8408255,114819.1149
163973,118.4931488,2985,408.5361891,602.6354859,40853.61891
163974,562.3376465,2985,1172.652651,738.0022838,117265.2651
163975,562.3376465,9000,2207.25086,1441.348107,220725.086
163976,984.2105103,7860,2106.406036,1846.810656,210640.6036
163977,1000,3300,1594.146698,498.0222029,159414.6698
163978,1181.25,21787.5,4515.377596,5104.80395,451537.7596
163979,479.6610107,24900,8006.16752,8251.160405,800616.752
163980,479.6610107,13520,2470.068932,1654.237796,247006.8932
163981,190.0990143,4210,1720.138248,1145.101208,172013.8248
163982,190.0990143,4948,285.257034,669.4618577,28525.7034
163983,0,8709.09082,2497.247798,3084.647678,249724.7798
163984,285.3333435,6460,1724.601024,1689.450469,172460.1024
163985,285.3333435,3742.857178,921.341514,778.9910143,92134.1514
163987,1275,9833.333008,2484.132776,2109.965034,248413.2776
163989,920.833313,7500,1354.195953,747.9784391,135419.5953
163990,825,2350,1704.298467,375.2899105,170429.8467
164619,7.901825905,20.49286652,15.89174828,5.849140623,1589.174828
164627,29.33810425,1200,475.5719775,311.6339643,47557.19775
164629,158.2172699,354.3103333,166.321714,21.19300613,16632.1714
164631,519.0476074,2775,1435.569741,608.8415975,143556.9741
164633,718.1818237,2460,1118.401816,369.1762395,111840.1816
164634,718.1818237,2416.666748,1399.986785,324.4097986,139998.6785
164635,37.96658325,1525,538.6189883,573.7503157,53861.89883
164637,37.96658325,37.96658325,37.96658325,0,3796.658325
164639,37.96658325,37.96658325,37.96658325,0,3796.658325
164641,37.96658325,2566.666748,1066.55242,778.7842118,106655.242
164642,60.05917358,2737.5,970.2490106,853.7677967,97024.90106
164643,60.05917358,2580,901.3652277,689.4765929,90136.52277
164644,60.05917358,3050,1274.655268,1023.407684,127465.5268
164645,302.7026978,2966.666748,1127.212629,817.6261303,112721.2629
164646,302.7026978,3485.714355,1364.489214,793.2937753,136448.9214
164647,538.4615479,1566.666626,789.0512866,326.1421859,78905.12866
164648,315.555542,4360,828.5792392,734.1291691,82857.92392
164649,315.555542,1630,760.1777606,408.364755,76017.77606
164650,214.2348785,1630,304.4204039,296.0751357,30442.04039
164651,214.2348785,9580,1987.447441,2207.06599,198744.7441
164652,917.3912964,6383.333496,1481.02727,998.9842532,148102.727
164653,372.580658,8533.333008,1802.823597,2122.915698,180282.3597
164654,118.4931488,3145.45459,1295.311239,752.3210714,129531.1239
164655,118.4931488,1984.615356,503.9212378,549.374099,50392.12378
164656,118.4931488,2309.09082,705.5086705,727.7883256,70550.86705
164658,1000,7160,2437.764919,1511.211159,243776.4919
164659,1000,3057.142822,2130.714038,720.4093722,213071.4038
164660,816.666687,10500,2457.38504,2358.449092,245738.504
164661,479.6610107,1900,928.170835,313.4783092,92817.0835
164663,86.1111145,2200,783.0122119,736.8536429,78301.22119
164664,86.1111145,1342.307739,562.9247775,421.2791253,56292.47775
164665,190.0990143,19650,1684.694207,2793.24755,168469.4207
164666,201.9354858,19650,3862.199061,2872.732509,386219.9061
164668,201.9354858,8111.111328,2208.374613,2200.574186,220837.4613
164670,271.9512329,2952.941162,1004.879536,716.6461833,100487.9536
164671,271.9512329,7500,1611.424288,1817.338311,161142.4288
164672,500,13300,1400.898083,1322.537902,140089.8083
165310,29.33810425,178.6956482,159.0609219,24.49566332,15906.09219
165312,158.2172699,2820,1211.42794,756.0168925,121142.794
165314,646.4285889,2700,1371.672822,686.5290547,137167.2822
165316,37.96658325,2246.153809,648.9185867,831.4133462,64891.85867
165317,37.96658325,37.96658325,37.96658325,0,3796.658325
165318,37.96658325,37.96658325,37.96658325,0,3796.658325
165322,37.96658325,37.96658325,37.96658325,0,3796.658325
165325,60.05917358,751.1627808,104.984386,164.4461707,10498.4386
165326,60.05917358,4300,1244.444235,1002.345182,124444.4235
165327,625.8064575,7581.818359,1820.327854,1311.455755,182032.7854
165328,582.0512695,4025,1294.176265,927.0520026,129417.6265
165329,622.222229,1590,976.965683,315.1425526,97696.5683
165331,93.67088318,2400,868.7651132,617.6007606,86876.51132
165332,93.67088318,6125,670.2274564,1212.115705,67022.74564
165333,214.2348785,6125,1573.75944,1721.713289,157375.944
165335,24.35344887,3114.285645,1403.519179,820.4777727,140351.9179
165337,24.35344887,1984.615356,1047.859084,616.3397497,104785.9084
165338,24.35344887,2811.111084,532.8068361,701.3366958,53280.68361
165339,356.7567444,10125,2551.835403,2518.864457,255183.5403
165340,1282.352905,2780,1628.785906,326.2909817,162878.5906
165342,277.3809509,5800,2671.419476,1274.158786,267141.9476
165343,277.3809509,2615.384521,866.673259,755.5553037,86667.3259
